settlement,district,county ,population,households,land km^2,density km^2,classification
Collegeland ,"Armagh, Banbridge and Craigavon ",County Armagh ,120,47,0.39,311.46,Small village or hamlet 
Ballygalget ,Ards and North Down ,County Down ,119,50,0.05,2192.15,Small village or hamlet 
Sandholes ,Mid Ulster ,County Tyrone ,119,50,0.15,790.35,Small village or hamlet 
Hillhall ,Lisburn and Castlereagh ,County Down ,118,55,0.07,1724.71,Small village or hamlet 
Cushendun ,Causeway Coast and Glens ,County Antrim ,115,53,0.04,2658.82,Small village or hamlet 
Ballyaughlis ,Lisburn and Castlereagh ,County Down ,114,51,0.02,4899.9,Small village or hamlet 
Ashfield / Gowdystown ,"Armagh, Banbridge and Craigavon ",County Down ,114,42,0.09,1276.45,Small village or hamlet 
Carncastle ,Mid and East Antrim ,County Antrim ,114,40,0.12,965.2,Small village or hamlet 
Drumnakilly ,Fermanagh and Omagh ,County Tyrone ,113,42,0.16,704.11,Small village or hamlet 
Ballymacnab ,"Armagh, Banbridge and Craigavon ",County Armagh ,113,36,,,Small village or hamlet 
Lack ,Fermanagh and Omagh ,County Fermanagh ,111,55,0.18,627.77,Small village or hamlet 
Mullaghglass ,"Newry, Mourne and Down ",County Armagh ,110,47,0.04,2508.57,Small village or hamlet 
Glen ,Mid Ulster ,County Londonderry ,110,46,0.1,1068.12,Small village or hamlet 
Mountjoy ,Fermanagh and Omagh ,County Tyrone ,110,42,0.19,567.26,Small village or hamlet 
Milltown ,"Armagh, Banbridge and Craigavon ",County Down ,110,39,0.07,1608.47,Small village or hamlet 
Carrickaness ,"Armagh, Banbridge and Craigavon ",County Armagh ,110,28,,,Small village or hamlet 
Orlock ,Ards and North Down ,County Down ,109,46,0.08,1447.11,Small village or hamlet 
Killeen ,"Newry, Mourne and Down ",County Armagh ,107,42,0.07,1542.89,Small village or hamlet 
Saul ,"Newry, Mourne and Down ",County Down ,107,42,0.07,1537.04,Small village or hamlet 
Halfpenny Gate ,Lisburn and Castlereagh ,County Antrim ,107,41,0.05,2242.85,Small village or hamlet 
Moneyglass ,Antrim and Newtownabbey ,County Antrim ,107,40,0.09,1142.93,Small village or hamlet 
Eglish ,"Armagh, Banbridge and Craigavon ",County Armagh ,106,45,0.07,1572.11,Small village or hamlet 
Ballycarn ,Lisburn and Castlereagh ,County Down ,105,39,0.08,1316.83,Small village or hamlet 
Knockmoyle ,Fermanagh and Omagh ,County Tyrone ,105,30,0.14,736.55,Small village or hamlet 
Churchtown ,Mid Ulster ,County Londonderry ,104,43,0.25,422.89,Small village or hamlet 
Ballycranbeg ,Ards and North Down ,County Down ,104,38,0.05,1899.52,Small village or hamlet 
Florencecourt / Drumlaghy ,Fermanagh and Omagh ,County Fermanagh ,102,54,0.23,450.46,Small village or hamlet 
Ardgarvan ,Causeway Coast and Glens ,County Londonderry ,102,53,0.05,2018.36,Small village or hamlet 
Innishrush ,Mid Ulster ,County Londonderry ,102,46,0.04,2448.51,Small village or hamlet 
Bushvale ,Mid and East Antrim ,County Antrim ,102,40,0.04,2866.97,Small village or hamlet 
Glassdrumman / Mullartown ,"Newry, Mourne and Down ",County Down ,100,43,0.13,787.78,Small village or hamlet 
Kirkistown ,Ards and North Down ,County Down ,100,42,0.13,796.56,Small village or hamlet 
Tullylish ,"Armagh, Banbridge and Craigavon ",County Down ,99,53,0.06,1690.34,Small village or hamlet 
Dooish ,Fermanagh and Omagh ,County Tyrone ,99,43,0.13,782.12,Small village or hamlet 
Clare ,"Armagh, Banbridge and Craigavon ",County Armagh ,99,35,,,Small village or hamlet 
Annaghmore ,"Armagh, Banbridge and Craigavon ",County Armagh ,98,41,0.16,629.27,Small village or hamlet 
Craigarogan ,Antrim and Newtownabbey ,County Antrim ,98,39,0.07,1500.88,Small village or hamlet 
Ballynadolly ,Lisburn and Castlereagh ,County Antrim ,98,37,0.05,2126.14,Small village or hamlet 
Milltown ,"Armagh, Banbridge and Craigavon ",County Armagh ,98,34,0.11,872.24,Small village or hamlet 
Ardtanagh ,"Armagh, Banbridge and Craigavon ",County Down ,96,36,0.06,1588.78,Small village or hamlet 
Ardmillan ,Ards and North Down ,County Down ,96,34,0.04,2246.04,Small village or hamlet 
Duneight ,Lisburn and Castlereagh ,County Down ,95,41,0.07,1342.82,Small village or hamlet 
Boardmills ,Lisburn and Castlereagh ,County Down ,95,30,,,Small village or hamlet 
Boleran ,Causeway Coast and Glens ,County Londonderry ,94,44,0.08,1180.11,Small village or hamlet 
Milltown (Benburb) ,"Armagh, Banbridge and Craigavon ",County Armagh ,94,40,0.07,1359.86,Small village or hamlet 
Drapersfield ,Mid Ulster ,County Tyrone ,94,27,0.11,823.77,Small village or hamlet 
Killeter ,Derry and Strabane ,County Tyrone ,93,44,0.08,1110.83,Small village or hamlet 
The Rock ,Mid Ulster ,County Tyrone ,93,40,0.21,445.05,Small village or hamlet 
Drumlegagh ,Derry and Strabane ,County Tyrone ,92,31,0.2,464.17,Small village or hamlet 
Trooperslane ,Mid and East Antrim ,County Antrim ,87,41,0.04,2018.89,Small village or hamlet 
Ballyeaston ,Antrim and Newtownabbey ,County Antrim ,87,39,0.07,1209.14,Small village or hamlet 
Ballycraigy ,Antrim and Newtownabbey ,County Antrim ,87,25,0.04,2392.18,Small village or hamlet 
Mill Bay ,Mid and East Antrim ,County Antrim ,86,41,0.07,1147.72,Small village or hamlet 
Gillygooly ,Fermanagh and Omagh ,County Tyrone ,86,31,0.24,365.08,Small village or hamlet 
Edenderry ,Fermanagh and Omagh ,County Tyrone ,85,32,0.2,429.08,Small village or hamlet 
Ballynease ,Mid Ulster ,County Londonderry ,85,25,,,Small village or hamlet 
Boveedy ,Causeway Coast and Glens ,County Londonderry ,84,34,0.04,1870.39,Small village or hamlet 
Goshaden ,Derry and Strabane ,County Londonderry ,83,32,0.02,3457.69,Small village or hamlet 
Lurganville ,Lisburn and Castlereagh ,County Down ,83,32,0.04,1916.77,Small village or hamlet 
Corbet ,"Armagh, Banbridge and Craigavon ",County Down ,82,39,0.03,2885.79,Small village or hamlet 
Garvaghey ,Fermanagh and Omagh ,County Tyrone ,82,33,0.18,449.76,Small village or hamlet 
Killadeas ,Fermanagh and Omagh ,County Fermanagh ,82,31,0.13,646.97,Small village or hamlet 
Longfield ,Mid Ulster ,County Londonderry ,82,31,0.06,1296.51,Small village or hamlet 
Glasker ,"Armagh, Banbridge and Craigavon ",County Down ,81,28,,,Small village or hamlet 
Gracefield ,Mid Ulster ,County Londonderry ,80,24,,,Small village or hamlet 
Ballycor ,Antrim and Newtownabbey ,County Antrim ,78,33,0.07,1107.83,Small village or hamlet 
Ballyfrenis ,Ards and North Down ,County Down ,78,32,0.07,1177.94,Small village or hamlet 
Pettigoe / Tullyhommon ,Fermanagh and Omagh ,County Fermanagh ,76,38,0.12,636.87,Small village or hamlet 
Carneatly ,Mid and East Antrim ,County Antrim ,76,36,0.04,1878.64,Small village or hamlet 
Gortaclare / Moylagh ,Fermanagh and Omagh ,County Tyrone ,76,29,0.19,396.01,Small village or hamlet 
Church Bay ,Causeway Coast and Glens ,County Antrim ,75,40,0.06,1181.3,Small village or hamlet 
Madden ,"Armagh, Banbridge and Craigavon ",County Armagh ,75,32,0.05,1401.41,Small village or hamlet 
Tummery / Lisdoo ,Fermanagh and Omagh ,County Tyrone ,75,25,,,Small village or hamlet 
Drumlough ,Lisburn and Castlereagh ,County Down ,73,25,0.07,1007.41,Small village or hamlet 
Crosshill ,Mid and East Antrim ,County Antrim ,72,26,0.05,1345.58,Small village or hamlet 
Altamuskin ,Fermanagh and Omagh ,County Tyrone ,72,23,0.17,413.87,Small village or hamlet 
Glenkeen ,Causeway Coast and Glens ,County Londonderry ,70,27,0.13,522.8,Small village or hamlet 
Craigavole ,Causeway Coast and Glens ,County Londonderry ,70,22,0.07,1071.51,Small village or hamlet 
Cranagh ,Derry and Strabane ,County Tyrone ,69,30,0.15,462.86,Small village or hamlet 
Springfield ,Fermanagh and Omagh ,County Fermanagh ,69,28,0.14,508.54,Small village or hamlet 
Chapeltown ,"Newry, Mourne and Down ",County Down ,68,24,,,Small village or hamlet 
Ballynabragget ,"Armagh, Banbridge and Craigavon ",County Down ,68,23,,,Small village or hamlet 
Creggan ,Fermanagh and Omagh ,County Tyrone ,67,25,,,Small village or hamlet 
Gortacladdy ,Mid Ulster ,County Tyrone ,67,20,,,Small village or hamlet 
Upper Broomhedge ,Lisburn and Castlereagh ,County Antrim ,66,26,0.04,1822.69,Small village or hamlet 
Dorsey ,"Newry, Mourne and Down ",County Armagh ,66,25,,,Small village or hamlet 
Ballytober ,Causeway Coast and Glens ,County Antrim ,65,30,0.03,2083.66,Small village or hamlet 
Ballymadeerfy ,"Newry, Mourne and Down ",County Down ,65,26,0.04,1465.22,Small village or hamlet 
Killaloo ,Derry and Strabane ,County Londonderry ,64,31,0.03,2362.05,Small village or hamlet 
Ballystockart ,Ards and North Down ,County Down ,64,28,0.04,1752.5,Small village or hamlet 
Acton ,"Armagh, Banbridge and Craigavon ",County Armagh ,64,26,0.06,1004.58,Small village or hamlet 
Aghory ,"Armagh, Banbridge and Craigavon ",County Armagh ,64,26,0.09,711.95,Small village or hamlet 
Killead ,Antrim and Newtownabbey ,County Antrim ,62,30,0.04,1456.97,Small village or hamlet 
Glastry ,Ards and North Down ,County Down ,61,20,0.11,572.28,Small village or hamlet 
Ballyrory ,Derry and Strabane ,County Londonderry ,60,30,0.06,1056.71,Small village or hamlet 
Carland ,Mid Ulster ,County Tyrone ,59,21,,,Small village or hamlet 
Killesher / Derrylester ,Fermanagh and Omagh ,County Fermanagh ,59,21,,,Small village or hamlet 
Lambeg ,Lisburn and Castlereagh ,County Antrim ,58,34,,,Small village or hamlet 
Charlestown ,"Armagh, Banbridge and Craigavon ",County Armagh ,57,27,,,Small village or hamlet 
Magherahoney ,Mid and East Antrim ,County Antrim ,57,25,0.03,1660.8,Small village or hamlet 
St. Mary's Terrace ,"Armagh, Banbridge and Craigavon ",County Armagh ,57,20,,,Small village or hamlet 
Gray's Park ,Ards and North Down ,County Down ,56,28,0.02,3244.82,Small village or hamlet 
Derrylee ,"Armagh, Banbridge and Craigavon ",County Armagh ,56,22,0.1,583.53,Small village or hamlet 
Derrynoose ,"Armagh, Banbridge and Craigavon ",County Armagh ,56,20,,,Small village or hamlet 
Kilskeery ,Fermanagh and Omagh ,County Tyrone ,55,26,0.2,278.92,Small village or hamlet 
Ballyboley ,Ards and North Down ,County Down ,55,20,,,Small village or hamlet 
The Woods ,Mid Ulster ,County Londonderry ,55,20,,,Small village or hamlet 
Moneydig ,Causeway Coast and Glens ,County Londonderry ,54,22,,,Small village or hamlet 
Tartaraghan ,"Armagh, Banbridge and Craigavon ",County Armagh ,54,20,0.09,625.7,Small village or hamlet 
Dunman ,Mid Ulster ,County Londonderry ,53,20,0.11,485.58,Small village or hamlet 
Morningside ,Lisburn and Castlereagh ,County Down ,52,22,0.04,1219.27,Small village or hamlet 
Tullyroan Corner ,"Armagh, Banbridge and Craigavon ",County Armagh ,52,20,,,Small village or hamlet 
Letterbreen ,Fermanagh and Omagh ,County Fermanagh ,51,25,0.12,424.56,Small village or hamlet 
Rousky ,Fermanagh and Omagh ,County Tyrone ,51,23,0.17,303.1,Small village or hamlet 
Auglish ,"Armagh, Banbridge and Craigavon ",County Armagh ,51,20,,,Small village or hamlet 
Kilross ,Mid Ulster ,County Londonderry ,51,20,,,Small village or hamlet 
Aghabrack ,Derry and Strabane ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Aghyaran ,Derry and Strabane ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Altishane ,Derry and Strabane ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Altnamacken / Cortamlet ,"Newry, Mourne and Down ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Ardess ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,,,Small village or hamlet 
Ardtrea ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Ballela ,"Armagh, Banbridge and Craigavon ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Ballyeasborough ,Ards and North Down ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Ballyknockan ,Lisburn and Castlereagh ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Ballymoyer ,"Newry, Mourne and Down ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Ballyrashane ,Causeway Coast and Glens ,County Londonderry ,50 or less ,19 or less ,,,Small village or hamlet 
Ballyroney ,"Armagh, Banbridge and Craigavon ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Ballyward ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Browns Bay ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Bruslee ,Antrim and Newtownabbey ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Cappagh ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,0.17,,Small village or hamlet 
Carnageer ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Carnalbanagh ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Carnanreagh ,Derry and Strabane ,County Londonderry ,50 or less ,19 or less ,,,Small village or hamlet 
Carnteel ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Carr ,Lisburn and Castlereagh ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Carranbeg / Rosscor ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,,,Small village or hamlet 
Carrickinab ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Carrontremall ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,,,Small village or hamlet 
Carrybridge ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,,,Small village or hamlet 
Church Hill ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,,,Small village or hamlet 
Cloghcor ,Derry and Strabane ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Closkelt ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Coney Island ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,0.06,,Small village or hamlet 
Craigantlet ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Craigbane ,Derry and Strabane ,County Londonderry ,50 or less ,19 or less ,,,Small village or hamlet 
Cromaghs ,Causeway Coast and Glens ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Dechomet ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Deerpark ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Derryboye ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Derryscollop ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Desertcreat ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Donaghey ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Drumagarner ,Causeway Coast and Glens ,County Londonderry ,50 or less ,19 or less ,0.06,,Small village or hamlet 
Drumaghlis ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Drumcrow ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Drumduff ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Drumhillery ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Drumlough Road ,Lisburn and Castlereagh ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Dunmoyle ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Dunmullan ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Dyan ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Eskragh ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Ferris Bay ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Feumore ,Lisburn and Castlereagh ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Feystown ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Finnis ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Garron Point ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Garvetagh ,Derry and Strabane ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Glenanne ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Glenhull ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Gortnagarn ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Granemore ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Grange ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Greencastle ,"Newry, Mourne and Down ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Jerretspass ,"Newry, Mourne and Down ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Kilkinamurray ,"Armagh, Banbridge and Craigavon ",County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Killeenan ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Kilwaughter ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Kingsmoss ,Antrim and Newtownabbey ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Knocknagulliagh ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,0.02,,Small village or hamlet 
Lisnadill ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Lisnagunogue ,Causeway Coast and Glens ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Lough View ,Lisburn and Castlereagh ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Lowtown ,Antrim and Newtownabbey ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Lurgill ,Lisburn and Castlereagh ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Magheraveely ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,0.07,,Small village or hamlet 
Mullaghbrack ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,0.06,,Small village or hamlet 
Mullanaskea ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,,,Small village or hamlet 
Newtownsaville ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Purdysburn ,Lisburn and Castlereagh ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Raloo ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Ringsend ,Causeway Coast and Glens ,County Londonderry ,50 or less ,19 or less ,,,Small village or hamlet 
Roscavey ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Salters Grange ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Shanvey ,Causeway Coast and Glens ,County Londonderry ,50 or less ,19 or less ,,,Small village or hamlet 
Six Road Ends ,Ards and North Down ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Stonebridge ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Straidkilly ,Mid and East Antrim ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Tassagh ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Temple ,Lisburn and Castlereagh ,County Down ,50 or less ,19 or less ,,,Small village or hamlet 
Tildarg ,Antrim and Newtownabbey ,County Antrim ,50 or less ,19 or less ,,,Small village or hamlet 
Tircur ,Fermanagh and Omagh ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Tullintrain ,Derry and Strabane ,County Londonderry ,50 or less ,19 or less ,,,Small village or hamlet 
Tullyallen ,Mid Ulster ,County Tyrone ,50 or less ,19 or less ,,,Small village or hamlet 
Tullygoonigan ,"Armagh, Banbridge and Craigavon ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Tullyherron ,"Newry, Mourne and Down ",County Armagh ,50 or less ,19 or less ,,,Small village or hamlet 
Whitehill ,Fermanagh and Omagh ,County Fermanagh ,50 or less ,19 or less ,,,Small village or hamlet 
